Name,Purity,Info,,,,,,,,,
seaborn._core.scales.label.815.4,Impure,,,,    return mapping,,,,,,
seaborn._core.scales.na_safe_cast.174.8,Impure,,,,,,,,,,
seaborn._core.scales.set_data_interval.928.4,Impure,,,,,,,,,,
seaborn._core.scales.set_major_formatter.943.4,Impure,,,,,,,,,,
seaborn._core.scales.set_minor_locator.947.4,Impure,,,,,,,,,,
seaborn._core.scales.sqrt.1070.4,Impure,,,,,,,,,,
seaborn._core.scales.square.1073.4,Impure,,,,,,,,,,
seaborn._core.scales.symexp.1061.4,Impure,,,,,,,,,,
seaborn._core.subplots.__init__.32.4,Impure,,,,,,,,,,
seaborn._core.subplots.init_figure.142.4,Impure,,,,,,,,,,
seaborn._marks.area._legend_artist.71.4,Impure,,,,,,,,,,
seaborn._marks.area._postprocess_artist.56.4,Pure,,,,,,,,,,
seaborn._marks.area._standardize_coordinate_parameters.162.4,Impure,,,,,,,,,,
seaborn._marks.bar.get_dimensions.232.12,Impure,,,,,,,,,,
seaborn._marks.base.depend.78.4,Impure,property,,,,,,,,,
seaborn._marks.base.document_properties.297.0,Impure,,,,,,,,,,
seaborn._marks.line._handle_capstyle.111.4,Impure,,,,,,,,,,
seaborn._marks.line._legend_artist.83.4,Impure,,,,,,,,,,
seaborn._marks.line._setup_segments.287.4,Impure,,,,,,,,,,
seaborn._marks.text._plot.40.4,Impure,,,,,,,,,,
seaborn._oldcore.__init__.520.4,Impure,,,,,,,,,,
seaborn._oldcore.__init__.632.4,Impure,,,,,,,,,,
seaborn._oldcore._assign_variables_longform.859.4,Impure,,,,,,,,,,
seaborn._oldcore._assign_variables_wideform.717.4,Impure,,,,,,,,,,
seaborn._oldcore._check_list_length.58.4,Impure,,,,,,,,,,
seaborn._oldcore._log_scaled.1301.4,Impure,,,,,,,,,,
seaborn._oldcore._lookup_single.170.4,Impure,,,,,,,,,,
seaborn._oldcore._lookup_single.580.4,Impure,,,,,,,,,,
seaborn._oldcore._map_attributes.588.4,Impure,,,,,,,,,,
seaborn._oldcore.assign_variables.689.4,Impure,,,,,,,,,,
seaborn._oldcore.has_xy_data.664.4,Impure,property,,,,,,,,,
seaborn._oldcore.iter_data.973.4,Impure,,,,,,,,,,
seaborn._oldcore.scale_categorical.1359.4,Impure,,,,,,,,,,
seaborn._statistics.__call__.189.4,Impure,,,,,,,,,,
seaborn._statistics.__call__.393.4,Impure,,,,,,,,,,
seaborn._statistics.__call__.480.4,Impure,,,,,,,,,,
seaborn._statistics._define_support_bivariate.106.4,Impure,,,,,,,,,,
seaborn._statistics._define_support_grid.89.4,Impure,,,,,,,,,,
seaborn._statistics._eval_bivariate.335.4,Impure,,,,,,,,,,
seaborn._statistics.define_support.124.4,Impure,,,,,,,,,,
seaborn._stats.aggregation.__call__.117.4,Pure,,,,,,,,,,
seaborn._stats.aggregation.__call__.38.4,Impure,,,,,,,,,,
seaborn._stats.base._check_param_one_of.33.4,Impure,,,,,,,,,,
seaborn._stats.counting.__call__.201.4,Impure,,,,,,,,,,
seaborn._stats.counting.__call__.34.4,Impure,,,,,,,,,,
seaborn._stats.density._fit.110.4,Impure,,,,,,,,,,
seaborn._stats.order._percentile.62.4,Impure,,,,,,,,,,
seaborn._stats.regression.__call__.39.4,Impure,,,,,,,,,,
seaborn._testing.assert_artists_equal.24.0,Impure,,,,,,,,,,
seaborn._testing.assert_plots_equal.64.0,Impure,,,,,,,,,,
seaborn.algorithms._structured_bootstrap.102.0,Impure,,,,,,,,,,
seaborn.axisgrid.__init__.103.4,Pure,,,,,,,,,,
seaborn.axisgrid.__init__.1681.4,Impure,,,,,,,,,,
seaborn.axisgrid._add_axis_labels.1657.4,Impure,,,,,,,,,,
seaborn.axisgrid._map_bivariate.1552.4,Impure,,,,,,,,,,
seaborn.axisgrid._map_diag_iter_hue.1513.4,Impure,,,,,,,,,,
seaborn.axisgrid.apply.56.4,Impure,,,,,,,,,,
seaborn.axisgrid.ax.1072.4,Impure,property,,,,,,,,,
seaborn.axisgrid.figure.52.4,Impure,property,,,,,,,,,
seaborn.axisgrid.jointplot.2179.0,Impure,,,,,,,,,,
seaborn.axisgrid.map_diag.1431.4,Impure,,,,,,,,,,
seaborn.axisgrid.set_axis_labels.1937.4,Impure,,,,,,,,,,
seaborn.axisgrid.set_axis_labels.877.4,Impure,,,,,,,,,,
seaborn.axisgrid.set_titles.938.4,Impure,,,,,,,,,,
seaborn.axisgrid.tight_layout.112.4,Impure,,,,,,,,,,
seaborn.categorical.__init__.1525.4,Impure,,,,,,,,,,
seaborn.categorical.__init__.1747.4,Impure,,,,,,,,,,
seaborn.categorical.__init__.781.4,Impure,,,,,,,,,,
seaborn.categorical._hue_backcompat.121.4,Impure,,,,,,,,,,
seaborn.categorical._lv_outliers.1826.4,Impure,,,,,,,,,,
seaborn.categorical._native_width.227.4,Impure,property,,,,,,,,,
seaborn.categorical.annotate_axes.736.4,Impure,,,,,,,,,,
seaborn.categorical.draw_box_lines.1327.4,Impure,,,,,,,,,,
seaborn.categorical.draw_boxplot.796.4,Impure,,,,,,,,,,
seaborn.categorical.draw_confints.1494.4,Impure,,,,,,,,,,
seaborn.categorical.draw_points.1375.4,Impure,,,,,,,,,,
seaborn.categorical.draw_to_density.1395.4,Impure,,,,,,,,,,
seaborn.categorical.hue_offsets.1637.4,Impure,property,,,,,,,,,
seaborn.categorical.kde_support.1067.4,Impure,,,,,,,,,,
seaborn.categorical.plot.1733.4,Impure,,,,,,,,,,
seaborn.categorical.plot.886.4,Impure,,,,,,,,,,
seaborn.categorical.scale_area.1073.4,Impure,,,,,,,,,,
seaborn.categorical.scale_width.1095.4,Impure,,,,,,,,,,
seaborn.categorical.violinplot.2297.0,Impure,,,,,,,,,,
seaborn.distributions.__init__.107.4,Impure,,,,,,,,,,
seaborn.distributions._compute_univariate_density.301.4,Impure,,,,,,,,,,
seaborn.distributions._quantile_to_level.196.4,Impure,,,,,,,,,,
seaborn.distributions.plot_bivariate_histogram.744.4,Impure,,,,,,,,,,
seaborn.distributions.plot_univariate_ecdf.1222.4,Impure,,,,,,,,,,
seaborn.distributions.univariate.116.4,Impure,property,,,,,,,,,
seaborn.external.docscrape.__getitem__.68.4,Impure,,,,,,,,,,
seaborn.external.docscrape._parse.393.4,Impure,,,,,,,,,,
seaborn.external.docscrape._parse_see_also.299.4,Impure,,,,,,,,,,
seaborn.external.docscrape._str_extended_summary.466.4,Pure,,,,,,,,,,
seaborn.external.docscrape.dedent_lines.572.0,Impure,,,,,,,,,,
seaborn.external.docscrape.get_func.609.4,Impure,,,,,,,,,,
seaborn.external.docscrape.is_unindented.111.8,Pure,,,,,,,,,,
seaborn.external.docscrape.methods.691.4,Impure,property,,,,,,,,,
seaborn.external.docscrape.properties.701.4,Impure,property,,,,,,,,,
seaborn.external.docscrape.seek_next_non_empty_line.82.4,Impure,,FP !!!,"def __init__(self, data):",,,,,,,
seaborn.external.husl.f_inv.133.0,Impure,,,"    if isinstance(data, list):",,,,,,,
seaborn.external.husl.from_linear.140.0,Impure,,,        self._str = data,,,,,,,
seaborn.external.husl.hex_to_rgb.178.0,Pure,,,    else:,,,,,,,
seaborn.external.husl.husl_to_lch.260.0,Impure,,,        self._str = data.split('\n')  # store string as list of lines,,,,,,,
seaborn.external.husl.lch_to_huslp.302.0,Impure,,,,,,,,,,
seaborn.external.husl.luv_to_xyz.222.0,Impure,,,    self.reset(),,,,,,,
seaborn.external.husl.to_linear.147.0,Impure,,,,,,,,,,
seaborn.external.husl.xyz_to_luv.202.0,Impure,,,def reset(self):,,,,,,,
seaborn.external.kde.__init__.194.4,Impure,,,    self._l = 0  # current line nr,,,,,,,
seaborn.external.kde.neff.375.4,Impure,property,,,,,,,,,
seaborn.external.kde.scotts_factor.270.4,Impure,,,,,,,,,,
seaborn.external.kde.silverman_factor.280.4,Impure,,,,,,,,,,
seaborn.external.kde.weights.367.4,Impure,property,,,,,,,,,
seaborn.external.version.__eq__.155.4,Impure,,,,,,,,,,
seaborn.external.version.__eq__.47.4,Pure,,,,,,,,,,
seaborn.external.version.__le__.149.4,Impure,,,,,,,,,,
seaborn.external.version.__le__.44.4,Pure,,,,,,,,,,
seaborn.external.version.__ne__.173.4,Impure,,,,,,,,,,
seaborn.external.version.__neg__.59.4,Impure,,,,,,,,,,
seaborn.external.version.is_devrelease.334.4,Impure,property,FP !!!,@property,,,,,,,
seaborn.matrix._annotate_heatmap.249.4,Impure,,,def is_devrelease(self) -> bool:,,,,,,,
seaborn.matrix._convert_colors.47.0,Impure,,,    return self.dev is not None,,,,,,,
seaborn.matrix.calculate_dendrogram.564.4,Impure,,,,,,,,,,
seaborn.matrix.heatmap.355.0,Impure,,,,,,,,,,
seaborn.matrix.plot.1117.4,Impure,,,,,,,,,,
seaborn.matrix.plot_dendrograms.970.4,Impure,,,,,,,,,,
seaborn.matrix.plot_matrix.1060.4,Impure,,,,,,,,,,
seaborn.palettes._repr_html_.108.4,Impure,,,,,,,,,,
seaborn.palettes._repr_png_.96.4,Impure,,,,,,,,,,
seaborn.palettes.blend_palette.581.0,Impure,,,,,,,,,,
seaborn.palettes.color_palette.122.0,Impure,,,,,,,,,,
seaborn.palettes.diverging_palette.532.0,Impure,,,,,,,,,,
seaborn.palettes.light_palette.484.0,Impure,,,,,,,,,,
seaborn.rcmod.axes_style.146.0,Impure,,,,,,,,,,
seaborn.rcmod.plotting_context.335.0,Impure,,,,,,,,,,
seaborn.rcmod.wrapper.484.8,Impure,no param call detected,,,"def __call__(self, func):",,,,,,
seaborn.regression.dropna.56.4,Impure,,,,    @functools.wraps(func),,,,,,
seaborn.regression.establish_variables.32.4,Impure,,,,"    def wrapper(*args, **kwargs):",,,,,,
seaborn.regression.estimate_data.154.4,Impure,property,,,        with self:,,,,,,
seaborn.regression.fit_fast.229.4,Impure,,,,"            return func(*args, **kwargs)",,,,,,
seaborn.regression.plot.340.4,Impure,,,,    return wrapper,,,,,,
seaborn.regression.regress_out.331.4,Impure,,,,,,,,,,
seaborn.relational.__init__.529.4,Impure,,,,,,,,,,
seaborn.relational.add_legend_data.193.4,Impure,,,,,,,,,,
seaborn.utils._check_argument.788.0,Pure,,,,,,,,,,
seaborn.utils._normalize_kwargs.768.0,Impure,,,,,,,,,,
seaborn.utils.axes_ticklabels_overlap.670.0,Impure,,,,,,,,,,
seaborn.utils.get_data_home.520.0,Impure,,,,,,,,,,
seaborn.widgets._update_lut.31.0,Impure,,,,,,,,,,
seaborn.widgets.choose_colorbrewer_palette.47.0,Impure,,FP !!!,This must be a propagation error,,,,,,,
seaborn.widgets.choose_diverging_palette.346.4,Impure,,,,,,,,,,
seaborn.widgets.choose_sequential.93.8,Impure,,,,,,,,,,
,,,,,,,,,,,
,,,180,,,,,,,,
,,,20,,,,,,,,
,,,200,,,,,,,,
